MatchID,MatchDate,Tournament,Round,Surface,Player,Opponent,Result,MatchStatus,FinalScore,TotalGames,GamesWon,GamesLost,PlayerSetsWon,OpponentSetsWon,TotalSets,FirstSetTotalGames,PlayerFirstSetGamesWon,OpponentFirstSetGamesWon,StraightSets,ThreeSetMatch,FirstSetTiebreak,Aces,BPWon,DoubleFaults,ActualFantasyScore,FantasyActualAvailable,FantasyValidationStatus,DerivationStatus,DerivationVersion,ReconciliationStatus,TotalGamesConflict,GamesWonConflict,DataQualityFlag,Source,SourceUpdatedAt,FeedUpdatedAt,RecencyRank
TT2-1C43E561E5B09A1D,46196,Eastbourne,R16,Grass,Ajla Tomljanovic,Tereza Valentova,L,Completed,2-6 7-5 4-6,30,13,17,1,2,3,8,2,6,False,True,False,3,5,7,1.0,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46202,2026-09-24T01:40:14.986663-07:00,1
TT2-3A0DFB8965663BE7,46194,Eastbourne,R32,Grass,Ajla Tomljanovic,Elisabetta Cocciaretto,W,Completed,6-2 6-7(5) 7-5,33,19,14,2,1,3,8,6,2,False,True,False,2,8,8,15.0,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46202,2026-09-24T01:40:14.986663-07:00,2
TT2-8AFD834ED3162CF3,46193,Eastbourne,Q2,Grass,Ajla Tomljanovic,Veronika Erjavec,W,Completed,6-1 7-5,19,13,6,2,0,2,7,6,1,True,False,False,2,6,6,21.0,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,3
TT2-50B426686AB6BD32,46192,Eastbourne,Q1,Grass,Ajla Tomljanovic,Camila Osorio,W,Completed,6-2 6-4,18,12,6,2,0,2,8,6,2,True,False,False,,4,3,,False,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,4
TT2-B8C90C7D2D8986BD,46185,Hertogenbosch,Semis,Grass,Ajla Tomljanovic,Robin Montgomery,L,Completed,4-6 2-6,18,6,12,0,2,2,10,4,6,True,False,False,1,0,2,-2.5,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,5
TT2-A64A1773BAAA0CAA,46185,Hertogenbosch,QF,Grass,Ajla Tomljanovic,Caty McNally,W,Completed,6-4 6-4,20,12,8,2,0,2,10,6,4,True,False,False,2,4,2,20.0,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,6
TT2-16FA1B17AF8265B4,46184,Hertogenbosch,R16,Grass,Ajla Tomljanovic,Dayana Yastremska,W,Completed,4-6 6-4 7-5,32,17,15,2,1,3,10,4,6,False,True,False,2,5,7,12.5,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,7
TT2-65F94C0450F4B5EE,46182,Hertogenbosch,R32,Grass,Ajla Tomljanovic,Jessica Bouzas Maneiro,W,Completed,6-3 6-1,16,12,4,2,0,2,9,6,3,True,False,False,,5,3,,False,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,8
TT2-A259E78DC4C66B01,46176,Birmingham 125,R32,Grass,Ajla Tomljanovic,Katie Swan,,UnsupportedFormat,6-7(4) 2-3,18,8,,,,,,,,,,,1,2,7,,False,FORWARD_VALIDATION_ONLY,UnsupportedFormat,player-research-feed-v1,Matched,False,False,illegal_or_nonstandard_set,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,9
TT2-78D8D2519FEE0EE9,46165,French Open,R128,Clay,Ajla Tomljanovic,Caty McNally,L,Completed,6-3 6-7(5) 3-6,31,15,16,1,2,3,9,6,3,False,True,False,1,7,10,1.5,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,10
TT2-CA4FD709613C5EBA,46160,Rabat,R32,Clay,Ajla Tomljanovic,Sada Nahimana,L,Completed,3-6 5-7,21,8,13,0,2,2,9,3,6,True,False,False,4,2,9,-3.5,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,11
TT2-C00FC97B90C07393,46148,Rome,R128,Clay,Ajla Tomljanovic,Noemi Basiletti,L,Completed,5-7 4-6,22,9,13,0,2,2,12,5,7,True,False,False,1,4,6,-2.5,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,12
TT2-D25E37A958FC0AB0,46146,Rome,Q2,Clay,Ajla Tomljanovic,Leolia Jeanjean,L,Completed,6-7(5) 7-5 3-6,34,16,18,1,2,3,13,6,7,False,True,True,3,4,3,5.0,True,FORWARD_VALIDATION_ONLY,Derived,player-research-feed-v1,Matched,False,False,Complete score,Raw Match Log,46194,2026-09-24T01:40:14.986663-07:00,13
